adapter,level1_affected,level2_affected,any_affected,level0_ub_bits,level1_ub_bits,level2_ub_bits,level0_ub_kib,level1_ub_kib,level2_ub_kib,level1_pass_observed,level2_pass_observed,level1_vector_functions_before,level2_vector_functions_before,all_levels_ub_line_observed,diagnostic
triton.language.erf.ttadapter,False,False,False,6144,6144,6144,0.75,0.75,0.75,True,True,0,0,True,
triton.language.exp.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.exp2.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.expand_dims.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.extra.cann.extension.extract_slice.ttadapter,False,False,False,65536,65536,65536,8.0,8.0,8.0,True,True,0,0,True,
triton.language.extra.cann.extension.gather_out_to_ub.ttadapter,False,False,False,,,,,,,False,False,0,0,False,"loc(""/tmp/triton.language.extra.cann.extension.gather_out_to_ub.HHumwf.py"":9:0): error: Failed to run BiShengHIR pipeline | loc(""/tmp/triton.language.extra.cann.extension.gather_out_to_ub.HHumwf.py"":9:0): error: Failed to run BiShengHIR pipeline | loc(""/tmp/triton.language.extra.cann.extension.gather_out_to_ub.HHumwf.py"":9:0): error: Failed to run BiShengHIR pipeline"
triton.language.extra.cann.extension.get_element.ttadapter,False,False,False,10496,10496,10496,1.28125,1.28125,1.28125,True,True,0,0,True,
triton.language.extra.cann.extension.index_put.ttadapter,False,False,False,,,,,,,False,False,0,0,False,"loc(""/tmp/triton.language.extra.cann.extension.index_put.4N6nL6.py"":9:0): error: Failed to run BiShengHIR pipeline | loc(""/tmp/triton.language.extra.cann.extension.index_put.4N6nL6.py"":9:0): error: Failed to run BiShengHIR pipeline | loc(""/tmp/triton.language.extra.cann.extension.index_put.4N6nL6.py"":9:0): error: Failed to run BiShengHIR pipeline"
triton.language.extra.cann.extension.insert_slice.ttadapter,False,False,False,1056768,1056768,1056768,129.0,129.0,129.0,True,True,0,0,True,
triton.language.extra.cann.extension.parallel.ttadapter,False,False,False,524288,524288,524288,64.0,64.0,64.0,True,True,0,0,True,
triton.language.extra.cann.extension.scatter_ub_to_out.ttadapter,False,False,False,,,,,,,False,False,0,0,False,"loc(""/tmp/triton.language.extra.cann.extension.scatter_ub_to_out.EemUpR.py"":9:0): error: Failed to run BiShengHIR pipeline | loc(""/tmp/triton.language.extra.cann.extension.scatter_ub_to_out.EemUpR.py"":9:0): error: Failed to run BiShengHIR pipeline | loc(""/tmp/triton.language.extra.cann.extension.scatter_ub_to_out.EemUpR.py"":9:0): error: Failed to run BiShengHIR pipeline"
triton.language.extra.cann.extension.sort.ttadapter,False,False,False,16384,16384,16384,2.0,2.0,2.0,True,True,0,0,True,
triton.language.extra.cann.extension.sync_block_all.ttadapter,False,False,False,,,,,,,True,True,0,0,False,
triton.language.fdiv.ttadapter,False,False,False,2048,2048,2048,0.25,0.25,0.25,True,True,0,0,True,
triton.language.flip.ttadapter,False,False,False,1182976,1182976,1182976,144.40625,144.40625,144.40625,True,True,0,0,True,
triton.language.floor.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.fma.ttadapter,False,False,False,4096,4096,4096,0.5,0.5,0.5,True,True,0,0,True,
triton.language.full.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.gather.ttadapter,False,False,False,512,512,512,0.0625,0.0625,0.0625,True,True,0,0,True,
triton.language.ge.ttadapter,False,False,False,5120,5120,5120,0.625,0.625,0.625,True,True,0,0,True,
triton.language.gt.ttadapter,False,False,False,5120,5120,5120,0.625,0.625,0.625,True,True,0,0,True,
triton.language.histogram.ttadapter,False,False,False,65536,65536,65536,8.0,8.0,8.0,True,True,0,0,True,
triton.language.index_select_simd.ttadapter,False,False,False,512,512,512,0.0625,0.0625,0.0625,True,True,0,0,True,
triton.language.inline_asm_elementwise.ttadapter,False,False,False,16384,16384,16384,2.0,2.0,2.0,True,True,0,0,True,
triton.language.interleave.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
triton.language.invert.ttadapter,False,False,False,,,,,,,True,True,0,0,True,
triton.language.join.ttadapter,False,False,False,1024,1024,1024,0.125,0.125,0.125,True,True,0,0,True,
